question,answer
how late are you open,"We close at 5pm Pacific Time, Monday to Friday."
are you open weekends,"Sorry, we’re closed on weekends."
do you have a physical store,"Right now we’re online only."
how can i leave a review,"We’d love your feedback! Visit the product page to leave a review."
thank you so much,"You’re welcome! Let me know if you need anything else."
thanks,"No problem! Happy to help."
whr is my order,"Let’s get that sorted. Can you give me your order number?"
where's my oder,"Oops, typo? Let’s find your order—give me the order number!"
i want refund,"No problem, I’ll help start a refund if your order qualifies."
how tf do i call,"You can reach us at (800) 555-1234."
i dont like this item,"Sorry to hear that! Want to return or exchange it?"
u guys open?,"Yes! We’re open weekdays 9–5."
where r u located,"We’re at 123 Main Street, San Diego."
can i talk 2 someone,"Absolutely, I’ll connect you to a team member."
where's my stuff,"Let me check on that—do you have your order number?"
lost my package,"I’m on it! Give me your order number so we can check."
your site not working,"Sorry! Can you describe the problem? Support will help right away."
help,"Sure, what can I help with?"
customer service,"I’m here! Or I can connect you with a human if needed."
bye,"Bye! Let us know if you need anything else."
see ya,"See you! Have a great day."
thx,"Happy to help!"
u rock,"Thanks! Let me know if you have more questions."
i have a weird question,"Ask away! I’ll do my best to help."
that didn’t answer my question,"Sorry about that! I can connect you to a human agent."
what else can you do,"I can help with orders, shipping, returns, and more. Ask me anything!"
